Alphazet-SemiBold.otf;24;Alphazet
AmberyGardenRegular-PKjGd.ttf;26;Ambery Garden
BorderWall-OG55o.otf;26;Border Wall
Excludeditalic-jEr99.ttf;20;Excluded
Le Chocolat Qui Fait Sourire.ttf;30;Le Chocolat
MangabeyRegular-rgqVO.otf;30;Mangabey
Martius-LV9L4.ttf;32;Martius
Milk Choco.otf;32;Milk Choco
MouldyCheeseRegular-WyMWG.ttf;26;Mouldy Cheese
Playball-q6o1.ttf;30;Playball
Robofan Free.otf;28;Robofan
SandanaRegular-JR5q7.ttf;24;Sandana
SparkyStonesRegular-BW6ld.ttf;30;Sparky Stones
SuperChiby-BL62V.ttf;30;Super Chiby
SuperChips-5yBYL.ttf;26;Super Chips
SuperLarky-nALLR.ttf;20;Super Larky
SuperJoyful-lxwPq.ttf;26;Super Joyful
SuperSalad-qZgvV.ttf;30;Super Salad
This Is The Future Italic.otf;24;This Is The Future
Wiltype-9MA1y.ttf;32;Wiltype
